"cov","dr","ds","t","lspos","text"
"CC",  365.9,1661,"Nt","F","L"
"CC",  807.3,1922,"Nt","F","L"
"CN",  455.9,1481,"Nt","C","LC"
"CN",  296.2, 796,"Nt","B","L"
"CC",  667.9, 813,"Nt","B","L"
"CC", 1170.3,1588,"Nt","B","L"
"NC", 1550.7,1580,"Nt","A","L'"
"CO", 1957.3,1969,"Nt","A","L"
"CN",  496.6, 682,"Nt","A","L'"
"CN",  264.3, 392,"Nt","A","L'"
"CC",  363.0,1365,"Nt","A","L'"
"CC",  601.1,2338,"Cp","C","LC"
"CC", 1559.4,3093,"Cp","F","L"
"CC", 2532.3,3482,"Cp","C","LC"
"CC", 3461.6,3871,"Cp","C","LC"
"CC", 3659.0,4208,"Cp","C","LC"
"CC", 3833.3,3819,"Cp","C","LC"
"CC", 2933.0,3369,"Cp","C","LC"
"CC", 1974.7,2985,"Nt","A","L"
"CO", 1001.9,2596,"Nt","A","L"
"CC",   29.0,2280,"Nt","A","L"
"CN",  665.0,2373,"Nt","F","LC"
"CC",  647.6,2001,"Nt","F","LC"
"CC", 1068.7,1612,"Nt","F","LC"
"CC", 1190.6,1879,"CA","F","LC"
"CO",  731.8,2387,"CA","F","LC"
"CN",  243.9,3003,"CA","F","LC"
"CC",  336.9,2619,"Nt","F","L"
"CO",  162.6,1853,"Nt","F","L"
"NN",  487.9, 880,"Nt","F","L"
"CC",   84.2, 267,"Nt","C","LC"
"NN",  243.9,1214,"Nt","B","L"
"CN",  212.0,1089,"Nt","B","L"
"NO",  609.8, 621,"Nt","B","L"
"NO",  999.0,1307,"Nt","A","L"
"CC", 1483.9,2280,"Nt","A","L"
"CC",   34.8,  81,"Nt","A","L'"
"CC",  653.4, 923,"Nt","A","L'"
"CC",  119.1,1638,"Cp","C","LC"
"CC",  670.8,2506,"Cp","C","LC"
"CC", 1629.1,2889,"Cp","C","LC"
"CC", 2314.5,3279,"Cp","C","LC"
"CC", 2488.7,3618,"Cp","C","LC"
"CC", 2686.2,3235,"Cp","C","LC"
"CC", 2889.5,2846,"Cp","C","LC"
"CC", 2471.3,3229,"Cp","C","LC"
"CO", 1727.9,2773,"Nt","A","L"
"CO", 1202.3,1800,"Nt","A","L"
"CN",  412.4,1307,"Nt","A","L"
"CO",   81.3,1400,"Nt","F","LC"
